"evrak","Kelime","frekans"
3,"aküpunktür",1
4,"bambul otu",6
4,"acemice",7
4,"ateş gecesi",5
4,"acıyarak",3
4,"aftaka",5
4,"alyans",3
4,"anadolulu",3
4,"ağzının perhizi yok",5
4,"afiş yutmak",5
4,"beş altı",4
4,"bademli",6
4,"aet",5
4,"anaforculuk",6
4,"alman",1
4,"açıkyüreklilik",4
4,"aş erme",5
4,"beğenme",3
4,"acze düşmek",3
4,"anlaşılan",6
4,"adını taşımak",1
4,"belleğini yitirmek",1
4,"balast",4
4,"amaçlanma",1
4,"bayıltıcı",6
4,"avlamak",2
4,"ağır kaçmak",3
4,"ahlakıyat",7
4,"beta ışınları",6
4,"bagaj",6
4,"adalete teslim etmek",6
4,"aralıklı",3
4,"andız",6
4,"avans",7
4,"bandajlatmak",7
4,"afişe",7
4,"banyo",5
4,"bazitli mantarlar",3
4,"bandoculuk",3
4,"beşik kertiği",3
4,"beyaztilki",4
4,"betimleme",7
4,"atom reaktörü",3
4,"azledilmesi",3
4,"açık toplum",3
4,"aritmik",5
4,"avane",3
4,"açık bono",2
4,"bencillik",3
4,"belirlenme",7
4,"ayrılmış",5
4,"altıgen",2
4,"akkarıncalar",1
4,"ayırmaç",7
4,"alet",7
4,"ağzını hayra aç",1
4,"başnokta",1
4,"anlaşılmayan",1
4,"antlaşma",6
4,"asturca",1
4,"abece sırası",3
4,"baklalık",2
4,"avıngu",5
5,"alımsız",2
5,"araştırılması",3
5,"alçalmaya",3
5,"anlayışlılığın",3
5,"alınlık",6
5,"arkalamak",5
5,"ampul",4
5,"ardışık sayılar",1
5,"açık kapı politikası",5
5,"akıl durdurmak",1
5,"bereketli",1
5,"acıyı",7
5,"ağzı teneke kaplı",2
5,"bahanesiz",4
5,"avan",5
5,"adamsendeci",2
5,"aze",3
5,"anlaşılan",3
5,"beklenilenin",5
5,"bal",4
5,"al takke ver külah",1
5,"bahsı",7
5,"bertik",3
5,"ayartma",5
5,"aklan",6
5,"adap",4
5,"adap",4
5,"afiş",5
5,"anlayıp dinlemek",5
5,"açık yüreklilik",2
5,"aktan kara kalktı mı",7
5,"alkır",2
5,"antropoit",6
5,"badema",6
5,"açıklaştırmak",2
5,"alçak gönüllü",3
5,"alkışlamak",5
5,"bengisu",5
5,"başbakan",7
5,"allak bullak etmek",4
5,"bazitli mantarlar",4
5,"alavereci",1
5,"betül",6
5,"betül",5
5,"akşit",5
5,"beyaztilki",3
5,"aşkın",1
5,"astronomik rakam",6
5,"bakıcılık",7
5,"başkası",5
5,"balaban kuşu",5
5,"asıl nüsha",2
5,"alayiş",2
5,"altın bilezik",2
5,"asit borik",4
5,"ağızsız",6
5,"açık çek",1
5,"benzetlemeli",4
5,"açık öğretim",2
5,"acıya",7
5,"asabileşme",7
5,"antikacılık",2
5,"akkız",7
6,"al gülüm ver gülüm",2
6,"arkegon",7
6,"adak",1
6,"arkalamak",1
6,"alyans",7
6,"aradan",3
6,"aradan",1
6,"alay etmek",4
6,"bağlamsal anlam",2
6,"artçı",3
6,"ayrımlılaşmak",6
6,"başına kakmak",3
6,"azdırılmak",4
6,"azdırılmak",4
6,"arife günü",3
6,"addetmek",7
6,"bambaşka",2
6,"belirtilmezlik",6
6,"baş vermek",6
6,"bağıtlı",6
6,"ağrısız",6
6,"ağdalaşma",6
6,"balıkçıllar",4
6,"atak yapmak",3
6,"bağışçı",2
6,"bellembeç",1
6,"badema",7
6,"adcı",4
6,"akyaprak",2
6,"bandoculuk",5
6,"betül",5
6,"aplikasyon",7
6,"ateşpüskürmek",4
6,"başlatılmak",1
6,"acimik",7
6,"akla gelmedik",4
6,"akla gelmedik",4
6,"abullabutluk",6
6,"aksayan",6
6,"ayrılamaz",4
6,"ad durumu",6
6,"ağdacı",4
6,"akımtoplar",5
6,"bedelli",1
6,"başınıalıp gitmek",7
6,"bendenin",3
6,"alet",3
6,"asma kat",1
6,"bazende",1
6,"beraberlik",2
6,"acarlık",1
6,"baltayı taşa vurmak",5
6,"abay",2
6,"açınma",6
7,"alımsız",5
7,"amerikanvari",1
7,"baktı",2
7,"asap",1
7,"altıncı",3
7,"ağır işitmek",5
7,"avcı uçağı",4
7,"bahis",2
7,"belgeçerlemek",2
7,"art arda",3
7,"beyaz ırk",7
7,"başından aşkın olmak",4
7,"anlık",1
7,"akçalamak",2
7,"ağzı teneke kaplı",1
7,"açıkyüreklilik",6
7,"abdestan",3
7,"başmüşavir",6
7,"aktan",1
7,"antimadde",5
7,"avarız",5
7,"batırılmak",4
7,"araşit",1
7,"aytışan",3
7,"antisemit",7
7,"acarkan",2
7,"bertik",1
7,"ana kara",7
7,"asılmak",4
7,"ahlakıyat",1
7,"az değil",5
7,"ağırşaklanmak",6
7,"anormallik",4
7,"bağlama",4
7,"algur",5
7,"aşağıdakiler",2
7,"aşım",2
7,"aşırı besi",6
7,"aşıvurmak",6
7,"benzetilmek",3
7,"amniyon sıvısı",1
7,"arka çıkmak",4
7,"balık sütü",7
7,"askeri inzibat",1
7,"azoik",6
7,"bale",2
7,"anayasa",2
7,"bencillik",5
7,"asit borik",3
7,"ağırca",7
7,"bedelli",2
7,"başbuğ",2
7,"ağrık",5
7,"benzinli",2
7,"alnını karışlamak",4
7,"bağkesen",4
7,"alt yazılama",7
7,"asit alkol",4
7,"antibiyotik tedavisi",5
7,"ağzından",2
7,"ana toplardamar",6
7,"babana rahmet",4
7,"andantino",1
7,"bahtı açık",6
7,"bengilik",2
7,"avutulma",1
8,"alaca karanlık",3
8,"aşağılatmak",6
8,"açmacı",3
8,"alınlık",1
8,"ardışık sayılar",2
8,"bateri",4
8,"başkumandan",7
8,"ayaz paşa kol geziyor",5
8,"belirginleştirme",2
8,"ağzı teneke kaplı",6
8,"anaforculuk",4
8,"aktivite",4
8,"avan",6
8,"balarısı",7
8,"aze",2
8,"aharlama",7
8,"belleğini yitirmek",5
8,"avrupa arı kuşu",6
8,"androsefal",4
8,"arayış",3
8,"baş vermek",6
8,"bakteriyel",2
8,"ağrı kesimi",7
8,"amaçlanma",2
8,"astronot",3
8,"ayartma",5
8,"ağır kaçmak",7
8,"atom çekirdeği",3
8,"altlık",3
8,"aklına esmek",5
8,"berkitmek",6
8,"badema",1
8,"badema",6
8,"abartış",6
8,"ağış",7
8,"başı yastığa düşmek",6
8,"basketbol",2
8,"beşparalık olmak",1
8,"behime",5
8,"benzetilmek",5
8,"bendeniz",7
8,"ayarı bozuk",1
8,"asi",2
8,"algılanmak",2
8,"alçıcı",6
8,"açgözlülük",7
8,"baş yapmak",2
8,"benzi uçmak",1
8,"asırdide",1
8,"ayakları dolaşmak",7
8,"adaptör",3
8,"beren",4
8,"amirane",2
8,"bağları",3
8,"açık öğretim",2
8,"belki",7
8,"ana cadde",5
8,"bağlantısız",3
8,"benimsenme",5
8,"bence",3
8,"bağlanmak",3
8,"avam",4
8,"avutulma",4
8,"ayağına çabuk",2
9,"alıngan",7
9,"arsun",1
9,"ablaklık",2
9,"aklama belgesi",6
9,"ardışık sayılar",6
9,"ansefal",6
9,"bahis",1
9,"ağzıbozuk",1
9,"başvurma",5
9,"başından aşkın olmak",6
9,"bağırarak",2
9,"bandırmak",2
9,"benibeşer",5
9,"alışkın",3
9,"androsefal",2
9,"başmabeyinci",1
9,"arkabahçe",2
9,"alafranga müzik",1
9,"acarkan",7
9,"azot",4
9,"bayağılaştırma",2
9,"beduh",7
9,"beduh",3
9,"bela kesilmek",7
9,"beşparalık etmek",6
9,"acıçektirmek",4
9,"afis",7
9,"adliyeci",5
9,"balık yumurtası",7
9,"adli",4
9,"bağışçı",7
9,"bellembeç",2
9,"aşağıdakiler",4
9,"ateşli ateşli",4
9,"başlangıç",1
9,"balık etinde",3
9,"altlı üstlü",4
9,"akla gelmedik",2
9,"affınıza sığınarak",1
9,"belirsizlik",2
9,"adıkaynak",5
9,"akkorluk",4
9,"asırdide",7
9,"at sineği",7
9,"ayakları dolaşmak",7
9,"bakışımsız",6
9,"ayağa kalkmak",7
9,"acımıh",5
9,"banar",5
9,"aldırtma",6
9,"akaju",4
9,"beselemek",4
9,"ağlatmak",7
9,"antlaşma",3
10,"arkegon",5
10,"alçalmaya",1
10,"anlayışlılığın",1
10,"ampul",1
10,"bağcılık",7
10,"akıl durdurmak",2
10,"becerili",6
10,"baruthane",3
10,"aet",1
10,"aş erme",4
10,"balarısı",3
10,"asteğmenlik",1
10,"baksı",5
10,"addetmek",7
10,"aromatik",4
10,"beduh",4
10,"ala tavlı",4
10,"ala tavlı",4
10,"acyocu",5
10,"ateşte",4
10,"araklayıcı",4
10,"azametli",2
10,"apreli",3
10,"aile hukuku",1
10,"bastonlu",6
10,"azmettirme",2
10,"bardan bardan",3
10,"aşırı besi",1
10,"ailecek",2
10,"asi",6
10,"astronomik rakam",1
10,"adı verilmek",7
10,"adıkaynak",7
10,"baklava",7
10,"antropozoik",6
10,"akçakesme",2
10,"ayakbağı",2
10,"absorbe",6
10,"aglütinin",2
10,"bakışımlı",4
10,"beyni",6
10,"allık",2
10,"aleyhinde olmak",2
10,"acımıh",6
10,"aralamak",5
10,"bağkesen",4
10,"adamsız",2
10,"anonim şirket",2
10,"başını ezmek",4
10,"ağzından",1
10,"bellemek",7
10,"abı",3
10,"baradan",7
11,"aria",2
11,"anlaşmaya",1
11,"aklama belgesi",2
11,"ardışık sayılar",6
11,"avcı uçağı",4
11,"ağzıbozuk",7
11,"bereketli",1
11,"ağzının perhizi yok",1
11,"beyazlaştırmak",4
11,"başsızlık",4
11,"aze",1
11,"acze düşmek",2
11,"aşkenazca",1
11,"akgünlük",7
11,"alesta beklemek",7
11,"ankara keçisi",1
11,"anaçlaşmak",1
11,"avare olmak",4
11,"asıntı",2
11,"asıntı",5
11,"beyhudelik",6
11,"bahsı",1
11,"başa çıkmak",1
11,"bekinme",5
11,"bellek yitimi",2
11,"aynabakar",5
11,"altlık",1
11,"bartık",3
11,"bağlama",6
11,"asudelik",6
11,"abla",2
11,"aptesbozan otu",3
11,"arkeolog",7
11,"aksayan",5
11,"asırdide",6
11,"angın",3
11,"ağrısı tutmak",7
11,"aksırtmak",2
11,"alnını karışlamak",2
11,"başak bağlamak",2
11,"ağız değişikliği",7
11,"artezyen kuyusu",6
11,"balıkçı",4
11,"ahibba",4
11,"bakındı",3
11,"balıklama",1
11,"ambarlamak",3
11,"absorbe olmak",3
12,"aşağılatmak",4
12,"abin",2
12,"anlayışa",2
12,"bağcılık",1
12,"beyaz ırk",5
12,"alay etmek",7
12,"abdestini vermek",2
12,"balarısı",5
12,"ağaç parkı",2
12,"açık liman",2
12,"aharlama",3
12,"bertilme",1
12,"azar",4
12,"bedel",2
12,"alesta beklemek",1
12,"belirtilmezlik",4
12,"aklında olsun",4
12,"ağrı kesimi",2
12,"belagatsiz",5
12,"abışka",1
12,"bakışlarını ayıramamak",7
12,"ahlaf",3
12,"bellek yitimi",7
12,"ahdi",4
12,"ahdi",5
12,"bangladeş",3
12,"açık kabuk",7
12,"ayak teri",2
12,"basmakalıplaşmak",4
12,"anırmasınısağlamak",6
12,"akşam yeli",6
12,"abartış",4
12,"belgeler",2
12,"avans",1
12,"anons etmek",3
12,"allak bullak etmek",4
12,"belirme",4
12,"belirme",1
12,"ailecek",4
12,"asdam",5
12,"ampirik",5
12,"aş damı",2
12,"ağrıkesen",6
12,"beş para etmez",2
12,"alaca bulaca",7
12,"bakışımsız",3
12,"apseleşmek",3
12,"berkliğ",3
12,"barograf",1
12,"ayaksızlar",1
12,"aç karnına",2
12,"başarısız",6
12,"beterin beteri var",7
12,"adaklanmak",5
12,"ayıptır söylemesi",4
12,"açınma",7
12,"asturca",5
12,"ayağa düşmek",2
12,"atılğan",2
13,"başucu noktası",2
13,"beğence",5
13,"ağza koyacak bir şey",5
13,"ayakaltına almak",2
13,"bal mumu gibi erimek",1
13,"anlayışa",6
13,"adımını attırmamak",6
13,"ağılanma",7
13,"bağcılık",6
13,"art arda",5
13,"başından aşkın olmak",3
13,"amonyum karbonat",3
13,"akçalamak",2
13,"ata et",6
13,"başlamak",6
13,"başsızlık",5
13,"açık liman",1
13,"adamsendeci",7
13,"asteğmenlik",3
13,"bedavadan ucuz",7
13,"alaka çekmek",7
13,"astrolog",3
13,"alfons",3
13,"alicenaplık",4
13,"başmabeyinci",5
13,"apenin dağları",6
13,"arkuz",6
13,"alabalık",2
13,"bayram alayı",2
13,"aromatik",6
13,"azot",7
13,"beduh",6
13,"apreci",5
13,"acyocu",7
13,"apreli",4
13,"başşehir",7
13,"ateşli ateşli",4
13,"anons etmek",7
13,"aptesbozan otu",4
13,"bendeniz",1
13,"arası soğumak",5
13,"ağzına sakız olmak",4
13,"aşındırmak",6
13,"açıktan",1
13,"arkeolog",5
13,"belitlenebilirlik",2
13,"amerika elması",7
13,"adileşme",7
13,"açık mavi",5
13,"başından korkmak",4
13,"bayır aşağı",1
13,"bergi",7
13,"besinli",7
13,"andırmak",6
13,"alçılanmak",3
13,"aleyhinde olmak",6
13,"astarlı zarf",7
13,"alt yazılama",3
13,"acıya",7
13,"ağzını hayra aç",7
13,"baytar",6
13,"arada kaynamak",7
13,"bağışlanma",2
13,"bereket versin",6
13,"asturca",1
13,"ağı otu",2
13,"bağlaç",1
13,"alafrangacı",3
13,"aklı karışmak",6
14,"barışlandırına",5
14,"ağzının kaşığı olmamak",6
14,"anlaşmaya",2
14,"açkıyapılmak",2
14,"antiasit",2
14,"atlama taşı yapmak",1
14,"antropojen",5
14,"aklı selim",7
14,"beyazlaştırmak",2
14,"akşaman",7
14,"başına",6
14,"başmisafir",6
14,"azar",7
14,"antimadde",2
14,"antimadde",4
14,"argaçlamak",7
14,"bakteriyel",2
14,"başa çıkmak",6
14,"bermutat",5
14,"azot",4
14,"ahdi",4
14,"adap",1
14,"andoskopi",7
14,"acıçektirmek",2
14,"bekleme",5
14,"ayazlanmasınısağlamak",7
14,"bengisu",2
14,"barcı",1
14,"ağalanma",4
14,"ailecek",3
14,"başını duman almak",6
14,"asalakbilim",4
14,"asdam",2
14,"balık çorbası",1
14,"aka",2
14,"benimseyemeyen",3
14,"aş damı",3
14,"badiye",4
14,"aksatma",5
14,"angın",6
14,"astarlanma",3
14,"atmaca",2
14,"beynamaz",1
14,"adaptör",1
14,"adalet",3
14,"acıtmak",4
14,"balad",4
14,"aklını kaçırmak",4
14,"ağustos",5
14,"ağlatmak",1
14,"balık eti",5
14,"ağı otu",7
14,"ağabeylik",2
15,"al gülüm ver gülüm",3
15,"bas bariton",4
15,"atlama beygiri",1
15,"ayakaltına almak",2
15,"atkılı",1
15,"afiş yutmak",1
15,"araştırma görevlisi",3
15,"artçı",4
15,"anatomici",5
15,"ayniyet",5
15,"adamsendeci",4
15,"beygir",5
15,"atölye",2
15,"akgünlük",1
15,"bambaşka",4
15,"al kan",2
15,"berber",5
15,"anaçlaşmak",4
15,"apenin dağları",5
15,"anlaşmazlıklarbelirir",4
15,"apar topar",7
15,"baş sallamak",4
15,"bakışlarını ayıramamak",5
15,"açık hece",2
15,"basmakalıplaşmak",6
15,"ateşlenmek",2
15,"berkitmek",4
15,"andız",2
15,"alfaterapi",1
15,"açık rejim",7
15,"bengisu",6
15,"akyaprak",7
15,"arkada kalmak",2
15,"astar sürmek",3
15,"balık çorbası",3
15,"arkeolog",1
15,"amerika elması",1
15,"başından korkmak",6
15,"bançolaşma",4
15,"alaca bulaca",6
15,"ayakları dolaşmak",3
15,"bece­rikli",1
15,"başbuğ",6
15,"acıya",3
15,"bahşişler",7
15,"asyalı",6
15,"bakır sülfat",5
15,"ala takaç",3
15,"alternat",3
15,"baltayı taşa vurmak",2
15,"baltayı taşa vurmak",4
15,"ayıptır söylemesi",7
15,"agu bebek",7
15,"beselemek",2
15,"beçene",7
15,"anaca",1
15,"baş başa kalmak",6
15,"avans vermek",3
16,"balgümeci",7
16,"alıngan",4
16,"aşağılatmak",1
16,"bakışı",4
16,"baktı",1
16,"akçalamak",7
16,"abdestini vermek",7
16,"abdestan",4
16,"analitik kimya",3
16,"balarısı",5
16,"aklınla bin yaşa",4
16,"belediye teşkilatı",7
16,"amonyaklamak",6
16,"aktan",4
16,"akson",6
16,"adi defter",3
16,"beli çökmek",4
16,"asıntı",3
16,"al takke ver külah",1
16,"benzeşen",2
16,"alık alık",7
16,"aca",6
16,"ayartma",4
16,"ana kara",4
16,"bekinme",4
16,"alakalandırma",5
16,"andoskopi",4
16,"az değil",2
16,"az değil",6
16,"beta ışınları",6
16,"alçak gönüllülük",5
16,"azaltmalar",5
16,"ayarı bozuk",2
16,"başını duman almak",6
16,"arkasından koşmak",6
16,"aşkın",6
16,"afiyet",4
16,"babasına rahmet okumak",6
16,"batman",7
16,"azledilmesi",6
16,"angın",5
16,"absorbe",6
16,"ahfat",6
16,"ağıç",3
16,"ağıç",1
16,"bakışımlı",7
16,"afallaşma",7
16,"alaçık",5
16,"anglosakson",1
16,"acıtmak",7
16,"bestecinin",4
16,"bestecinin",2
16,"akamete uğramak",2
16,"aklıevvel",7
16,"başnokta",7
16,"abı",4
17,"benzi kül gibi olmak",6
17,"beğence",5
17,"açıkgözlükle",3
17,"akıl var",4
17,"akıl var",1
17,"başvurma",5
17,"beste bağlamak",5
17,"başından aşkın olmak",2
17,"alay etmek",2
17,"afiş yutmak",5
17,"ata et",4
17,"adamsendeci",6
17,"al kan",1
17,"berber",2
17,"berber",1
17,"arayış",3
17,"balast",2
17,"baş sallamak",5
17,"bécasse",6
17,"adap",6
17,"ala tavlı",5
17,"beta ışınları",5
17,"amfibyumlar",4
17,"adapte olmak",3
17,"bastonlu",5
17,"anons etmek",7
17,"basketbol",4
17,"aptesbozan otu",3
17,"akyaprak",4
17,"ağalanma",2
17,"başını duman almak",6
17,"başkan yardımcısı",2
17,"açgözlülük",5
17,"adı belirsiz",5
17,"adileşme",3
17,"ağrıkesen",1
17,"avane",7
17,"başgarson",5
17,"bernier çamurcunu",6
17,"belirlenme",6
17,"beyni",1
17,"ahmet",2
17,"ağa",1
17,"bağırış çağırış",6
17,"adalet",4
17,"anane",4
17,"acembuselik",5
17,"ayak divanı",4
17,"basınçölçüm",1
17,"aslan ağzı",2
17,"barbut",3
17,"besteci",2
17,"bazen",7
17,"aşılanma",4
17,"abidin",7
17,"ambarlamak",1
17,"azarlıyan",6
18,"al gülüm ver gülüm",5
18,"balgümeci",1
18,"bağlı kalmak",1
18,"arsun",4
18,"bakışı",4
18,"arkalıç",4
18,"afiyet olsun",6
18,"aktartma",1
18,"aftaka",5
18,"aftaka",7
18,"başvurma",6
18,"beğenilmesini",3
18,"başından aşkın olmak",5
18,"balat",3
18,"ayrımlılaşmak",7
18,"avan",2
18,"ağıtlama",6
18,"aygın baygın",2
18,"bağrına taş basmak",7
18,"ankara keçisi",6
18,"batırılmak",4
18,"arayış",4
18,"avare olmak",5
18,"bağatur",6
18,"bayağılaştırma",3
18,"bedenli",2
18,"bartık",3
18,"alanölçü",4
18,"adcı",2
18,"basketbol",3
18,"almancı",3
18,"bandoculuk",6
18,"alk",2
18,"araklamak",1
18,"benzeş",1
18,"başını duman almak",2
18,"beğdeş",7
18,"asalakbilim",4
18,"aka",4
18,"astronomik rakam",7
18,"barkod",3
18,"affınıza sığınarak",5
18,"atom reaktörü",2
18,"aday",1
18,"ailelik",3
18,"anayasa",2
18,"ağdacı",5
18,"açık bono",7
18,"başınıalıp gitmek",1
18,"ayağa kalkmak",6
18,"ağrık",2
18,"ağlatış",2
18,"alimane",5
18,"bahşişler",5
18,"beraberlik",5
18,"bebekçe",5
18,"akaju",3
18,"bağlatmak",3
18,"akıcı ünsüz",4
18,"ambalajcılık",2
18,"amerika bademi",7
18,"aksiyon",1
18,"abece sırası",4
18,"arıç",3
18,"açık pazar",3
19,"bağlı kalmak",7
19,"bas bariton",5
19,"barışlandırına",3
19,"arkegon",5
19,"atlama beygiri",7
19,"antrenman yapmak",7
19,"ağır işitmek",3
19,"ayartan",1
19,"ağıtlama",6
19,"avro",4
19,"belediye teşkilatı",4
19,"belleğini yitirmek",5
19,"beli çökmek",6
19,"ak kan yangısı",1
19,"avare olmak",4
19,"barutçuluk",2
19,"bağatur",3
19,"atom çekirdeği",3
19,"ağırkanlı",5
19,"beti",4
19,"basmakalıplaşmak",3
19,"basmakalıplaşmak",4
19,"besmelesiz",6
19,"anlaşılmamış",4
19,"alıştırmak",4
19,"almancı",4
19,"altlı üstlü",2
19,"bardan bardan",5
19,"baba hindi",4
19,"adli makam",1
19,"amniyon sıvısı",4
19,"belgegeçer",6
19,"balık sütü",7
19,"beslek",7
19,"azoik",4
19,"baş başa",6
19,"başınıdinlemek",7
19,"basgan",7
19,"at sineği",5
19,"besinli",4
19,"bağdaşıklaştırmak",6
19,"altın bilezik",7
19,"altın bilezik",4
19,"asbest yünü",5
19,"ağırca",7
19,"aslan kesilmek",3
19,"altıgen",6
19,"alaçık",4
19,"aksırtmak",7
19,"accelerando",4
19,"başnokta",4
19,"başefendi",3
19,"bellemek",2
19,"arıç",4
19,"alağ",1
19,"abı",7
20,"afi",1
20,"bambul otu",5
20,"amfibi harekat",3
20,"ağılaşma",1
20,"altun",6
20,"altlama",4
20,"aplike",4
20,"baba adam",4
20,"bandırmak",7
20,"asılmışadam",5
20,"aklınla bin yaşa",4
20,"açık liman",2
20,"aharlama",5
20,"başına kakmak",5
20,"azdırılmak",7
20,"akrostiş",7
20,"akrostiş",2
20,"alışkın",5
20,"asıl sayılar",3
20,"asıntı",1
20,"bertik",4
20,"bermutat",6
20,"bécasse",5
20,"ahdi",5
20,"ağaçkesen",2
20,"antropoit",1
20,"bartık",3
20,"anası kılıklı",5
20,"aşamcak",3
20,"bellisiz",7
20,"aceleten",3
20,"ayak takımı",2
20,"ant verdirmek",5
20,"banyo",6
20,"ananas",6
20,"akla gelmedik",5
20,"beslek",1
20,"aksırış",7
20,"amerika elması",6
20,"amerika elması",4
20,"ağrıkesen",1
20,"açık işletme",7
20,"baş başa",5
20,"başınıdinlemek",2
20,"badiye",2
20,"başında olmak",4
20,"andırmak",6
20,"acısı çıkmak",7
20,"bağımlı",7
20,"alçak kavuşum",4
20,"bendenin",5
20,"bağlantı ünsüzü",1
20,"arkadaşça",6
20,"balıkçı gemisi",6
20,"akamete uğramak",4
20,"baklavacı",6
20,"bebekçe",4
20,"benimsenme",6
20,"aşk yapmak",6
20,"altınımsı",6
20,"acılaşmak",1
20,"bağlaç",2
20,"altta yok üstte yok",3
21,"afi",2
21,"ampul",4
21,"beğenilmesini",2
21,"başından aşkın olmak",6
21,"bayrakçı",4
21,"bandırmak",6
21,"ağdalanmış",1
21,"aşır",2
21,"bağıldak",6
21,"beygir",7
21,"azar",1
21,"balyos",7
21,"açık hece",1
21,"afiş",4
21,"açık kabuk",1
21,"ayaküzeri",6
21,"ayrıksı ay",7
21,"anımsama",7
21,"başlangıç",5
21,"başlangıç",3
21,"banyo",2
21,"alavereci",5
21,"asalakbilim",2
21,"balık sütü",6
21,"azledilmesi",7
21,"avane",1
21,"bale",4
21,"amerikalı",7
21,"ayaktaşlık",6
21,"ayrı cinsten",4
21,"bağlantı ünsüzü",3
21,"akça pakça",5
21,"arada kaynamak",2
21,"beterin beteri var",5
21,"adaklanmak",7
21,"ana toplardamar",3
21,"alışveriş",7
21,"alacakmısın",2
21,"açınım",4
21,"avıngu",7
22,"arsun",3
22,"anlaşmaya",4
22,"amfibi harekat",3
22,"ansefal",1
22,"bağışlatma",2
22,"beş altı",4
22,"alt alta üst üste",2
22,"aet",3
22,"bayrakçı",4
22,"azma",5
22,"acze düşmek",7
22,"beygir",7
